season,week,gameId,team,playerName,position,status,injuryImpact,roleImpact,notes
2025,11,kc-at-buf,KC,Isiah Pacheco,RB,questionable,medium,"committee splits if active; backup picks up ~30% of carries","ankle (limited Wed/Thu)"
2025,11,kc-at-buf,KC,Xavier Worthy,WR,out,high,"vacates ~6 targets/game","concussion protocol"
2025,11,kc-at-buf,KC,Rashee Rice,WR,active,boost,"alpha target if Worthy out; +3 to +5 targets","contingent on Worthy ruling"
2025,11,kc-at-buf,BUF,Dion Dawkins,OL,questionable,ol_depleted,"Allen pressure rate up ~6%; capped rush yds in negative script","back (limited Thu)"
2025,11,sf-at-sea,SEA,Devon Witherspoon,CB,out,db_depleted,"opposing WR/slot matchup softer vs backup CB","hamstring"
2025,11,sf-at-sea,SF,Deebo Samuel,WR,questionable,medium,"Aiyuk and Jennings absorb targets if downgraded","oblique"
2025,11,phi-at-dal,PHI,Lane Johnson,OL,questionable,ol_depleted,"Hurts rush attempts trend up; pass yds skew down","ankle (limited Wed)"
2025,11,phi-at-dal,DAL,DaRon Bland,CB,out,db_depleted,"A.J. Brown WR1 matchup softer","foot (IR designation)"
2025,11,cin-at-bal,BAL,Marlon Humphrey,CB,doubtful,db_depleted,"Chase faces backup CB on outside","groin"
2025,11,cin-at-bal,CIN,Tee Higgins,WR,questionable,medium,"target tree compresses to Chase + Mims","hamstring"
2025,11,cin-at-bal,CIN,Ja'Marr Chase,WR,active,boost,"target ceiling 13+ if Higgins downgrades","contingent boost"
2025,11,det-at-min,DET,Frank Ragnow,OL,questionable,ol_depleted,"interior pressure on Goff up; timing throws disrupted","knee (DNP Wed)"
2025,11,det-at-min,,,—,uncertain,uncertainty,"15-20 mph wind forecast + multiple Q players — widen σ on passers/receivers","game-level flag"
